id_carrera;id_ies
1;5
1;53
2;20
2;26
3;31
4;43
5;43
6;31
7;3
7;4
7;5
7;7
7;19
7;17
7;20
7;18
7;14
7;26
7;16
7;24
7;34
7;35
7;41
7;29
7;30
7;32
7;38
7;39
7;40
7;43
7;44
7;53
7;54
7;50
7;55
7;49
7;52
7;11
8;51
9;21
10;48
11;2
12;2
13;2
14;2
15;2
16;2
17;28
18;22
19;31
20;48
21;20
21;22
21;55
22;20
23;36
23;52
24;44
25;31
26;20
27;48
28;55
29;55
30;51
31;48
32;11
33;24
34;49
35;3
35;18
35;38
35;39
35;50
36;13
36;37
36;38
37;26
38;13
39;8
40;31
41;31
42;31
43;38
44;1
44;3
44;4
44;15
44;23
44;24
44;32
44;53
44;54
45;31
46;4
46;15
46;24
46;43
46;44
46;53
46;51
47;7
47;20
47;23
47;35
47;41
47;39
47;54
47;51
47;55
47;48
48;5
48;16
48;39
48;43
48;45
48;51
48;55
49;43
50;43
51;40
52;7
53;7
54;5
55;7
55;17
55;20
55;18
55;14
55;27
55;22
55;16
55;28
55;29
55;30
55;32
55;25
55;8
55;20
55;43
55;55
55;48
55;52
56;22
56;48
57;10
58;43
59;14
59;9
59;43
60;18
60;38
60;25
60;44
61;55
62;7
62;14
62;9
62;43
63;55
64;18
65;20
66;5
67;38
68;38
69;24
70;27
71;53
72;52
73;17
74;5
74;18
74;27
74;56
74;23
74;29
74;43
74;55
75;16
76;7
76;41
77;56
78;7
78;18
79;29
80;4
80;14
80;44
80;55
81;22
81;26
81;8
81;40
81;6
81;43
81;45
81;54
82;36
83;31
84;7
85;7
86;20
87;20
88;29
89;29
90;17
91;7
91;55
92;55
93;17
94;47
95;55
96;47
96;55
97;55
98;55
99;17
100;15
101;10
101;25
102;25
103;7
104;7
105;10
106;44
107;19
108;19
109;19
110;19
111;22
111;10
112;52
113;27
114;7
115;9
115;43
116;22
117;14
118;7
118;17
118;27
118;13
118;24
118;34
118;28
118;31
118;32
118;46
118;47
118;11
119;22
120;22
121;20
122;8
123;7
123;27
123;30
123;31
123;39
123;50
123;49
124;48
125;12
126;26
127;29
128;7
128;44
129;20
130;26
131;1
131;3
131;5
131;15
131;20
131;16
131;25
131;39
131;40
131;43
131;52
132;7
132;10
132;24
132;41
132;28
132;29
132;40
132;43
132;55
133;43
134;8
135;19
136;7
137;7
138;7
139;22
139;25
140;19
141;8
142;7
142;17
142;20
142;18
142;27
142;16
142;38
142;45
142;46
142;47
142;44
142;55
143;19
144;19
145;19
146;19
147;28
148;28
149;28
150;17
151;7
152;36
153;4
153;7
153;17
153;20
153;18
153;14
153;26
153;16
153;24
153;35
153;41
153;28
153;29
153;30
153;32
153;38
153;25
153;40
153;45
153;46
153;47
153;44
153;53
153;50
153;55
153;49
153;52
153;11
154;24
155;31
155;54
155;51
155;48
156;27
157;20
158;49
159;34
160;20
161;37
162;9
163;32
164;9
164;25
165;14
166;7
166;17
166;20
166;18
166;14
166;27
166;22
166;12
166;16
166;13
166;24
166;41
166;28
166;29
166;30
166;31
166;32
166;38
166;25
166;8
166;20
166;36
166;43
166;45
166;54
166;55
166;52
167;2
168;2
169;2
170;2
171;12
172;27
173;28
174;7
174;17
174;14
174;30
175;43
176;45
177;20
177;16
177;43
178;45
178;48
179;16
180;5
180;7
181;7
182;52
183;4
183;5
183;7
183;27
183;12
183;16
183;31
183;32
183;20
183;43
183;54
183;52
183;11
184;47
185;22
186;45
186;48
187;19
187;25
188;7
189;51
190;7
191;7
192;16
193;43
194;5
194;7
194;17
194;20
194;18
194;14
194;27
194;22
194;10
194;16
194;13
194;28
194;29
194;30
194;32
194;38
194;25
194;43
194;45
194;53
194;54
194;51
194;55
195;15
195;51
196;44
197;27
198;2
199;49
200;44
201;17
202;6
203;7
203;35
203;47
203;51
204;17
204;20
204;22
204;34
204;40
204;43
205;7
205;14
205;16
205;24
205;41
205;29
205;31
205;32
205;33
205;40
205;45
205;46
205;47
205;44
205;53
205;54
205;52
206;19
206;29
206;33
207;7
207;19
207;17
207;18
207;14
207;26
207;16
207;24
207;41
207;29
207;30
207;31
207;32
207;33
207;25
207;20
207;40
207;45
207;46
207;44
207;53
207;54
207;52
208;22
209;24
209;33
209;40
210;27
211;27
212;1
212;5
212;17
212;40
212;53
212;54
213;1
213;4
213;5
213;16
213;41
213;40
213;43
214;41
214;55
215;17
216;20
217;1
217;17
217;20
217;14
218;36
219;48
220;7
220;17
220;20
220;18
220;14
220;27
220;22
220;24
220;35
220;41
220;29
220;32
220;38
220;39
220;36
220;45
220;46
220;44
220;53
221;4
221;5
222;14
222;45
223;16
224;7
224;17
225;40
226;4
226;17
226;18
226;28
226;43
